CHAPTER 3: Decimal Fractions
SECTION: EXERCISE (objective MCQs)
Questions 152-196

===== QUESTIONS =====
152. (d)

153. (d)

154. (d)

155. (a)

156. (c)

157. (c)

158. (b)

159. (b)

160. (c)

161. (b)

162. (d)

163. (b)

164. (b)

165. (d)

166. (d)

167. (a)

168. (c)

169. (b)

170. (d)

171. (c)

172. (b)

173. (d)

174. (c)

175. (c)

176. (d)

177. (b)

178. (b)

179. (c)

180. (c)

181. (d)

182. (c)

183. (d)

184. (a)

185. (d)

186. (b)

187. (c)

188. (a)

189. (b)

190. (c)

191. (e)

192. (c)

193. (d)

194. (b)

195. (c)

196. (b)

===== ANSWER KEY (correct option letter) =====
152. (d)
153. (d)
154. (d)
155. (a)
156. (c)
157. (c)
158. (b)
159. (b)
160. (c)
161. (b)
162. (d)
163. (b)
164. (b)
165. (d)
166. (d)
167. (a)
168. (c)
169. (b)
170. (d)
171. (c)
172. (b)
173. (d)
174. (c)
175. (c)
176. (d)
177. (b)
178. (b)
179. (c)
180. (c)
181. (d)
182. (c)
183. (d)
184. (a)
185. (d)
186. (b)
187. (c)
188. (a)
189. (b)
190. (c)
191. (e)
192. (c)
193. (d)
194. (b)
195. (c)
196. (b)

===== DETAILED SOLUTIONS =====
152. Given expression = (1.25)3 – (0.75)3 – 3 × (1.25)2 × 0.75
+ 3 × 1.25 × (0.75)2
 
  
= (1.25 – 0.75)3 = (0.5)3 = 
3
1

153. (78.95)2 – (43.35)2 = (78.95 + 43.35) (78.95 – 43.35)
	
	 	
= 122.3 × 35.6 = 4353.88.
	
	
[Q a2 – b2 = (a + b) (a – b)]

154. Given expression = 
2
2
(
–
) ,
( – )
a
b
a
b
 where a = 75.8, b = 55.8
	
	 	
= ( – ) (
)
( – )
a
b
a
b
a
b
a
b
+
=
+
 
  
= 75.8 + 55.8 = 131.6.

155. Given expression = 
2
2
(
–
) ,
(
)
a
b
a
b
+
 where a = 3.63, b = 2.37
	
	 	
= ( – ) (
)
( – )
(
)
a
b
a
b
a
b
a
b
+
=
+
	
	 	
= 3.63 – 2.37 = 1.26.

156. Let 
−
=
2
2
(36.54)
(3.46)

157. Given expression = 
2
2
(67.542)
(32.458)
(67.542
7.196)
(32.458
7.916)
−
+
−
+
	
	 	
= 
2
2
(67.542)
(32.458)
67.542
32.458
−
−
	
	 	
= (67.542
32.458)

158. Given expression = 
1.49
1.49
10
0.51
0.51
10
1.49
10
0.51
10


×
×
−
×
×


×
−
×


	
	 	
= 
2
2
10 [(1.49)
(0.51) ]
10 (1.49
0.51)
−
−
	
	 	
= (1.49
0.51)

159. Given expression = 
2
2
2
2
2
2
(
)
(
)

160. Given expression = 
5.32
(56
44)
(7.66
2.34) (7.66
2.34)
×
+
+
−
	
	 	
= 5.32
100

161. Given expression = 
2 2
2 2
2
2
[(0.6) ]
[(0.5) ]
(0.6)
(0.5)
−
+
	
	 	
= 
2
2
2
2
2
2
[(0.6)
(0.5) ][(0.6)
(0.5) ]
(0.6)
(0.5)
+
−
+
 
  
= (0.6)2 – (0.5)2 = (0.6 + 0.5) (0.6 – 0.5)
 
  
= (1.1 × 0.1) = 0.11.

162. Given expression = (7.5 × 7.5 + 2 × 7.5 × 2.5 + 2.5 × 2.5)
	
	 	
= (a2 + 2ab + b2) = (a + b)2
	
	 	
= (7.5 + 2.5)2 = 102 = 100.

163. 0.2 × 0.2 + 0.02 × 0.02 – 0.4 × 0.02
	
	 	
= 0.2 × 0.2 + 0.02 × 0.02 – 2 × 0.2 × 0.02
	
	 	
= (a2 + b2 – 2ab) = (a – b)2 = (0.2 – 0.02)2 = (0.18)2.
	
	 \ 
Given expression = (0.18
0.18)
0.09.
0.36
×
=

164. Given expression = (100 – 0.25)2 – 2250.0625
 
  
= (100)2 + (0.25)2 – 2 × 100 × 0.25 – 2250.0625
	
	 	
= 10000.0625 – 50 – 2250.0625 = 10000.0625 –2300.0625
	
	 	
= 7700.

92	
QUANTITATIVE APTITUDE

165. Given expression	= (55.25)2 – (25.25)2
	
	 	
= (55.25 + 25.25) (55.25 – 25.25)
	
	 	
= 80.5 × 30 = 2415.

166. Given expression = 3.20 (3.25 – 3.05)
3.20
0.2
0.064
0.064
×
=
	
	 	
= 0.64
64

167. Given expression	= [(.98)3 + (.02)3+ 3 × .98 × .02
	
	 (.98 + .02)] – 1 = (.98 + .02)3 – 1 = (1)3 – 1= 0.

168. Given expression	= (11.98)2 + (0.02)2 + 11.98 × x.
	
	 For the given expression to be a perfect square, we must 
have:
	
	 11.98 × x = 2 × 11.98 × 0.02 or x = 0.04.

169. Given expression	= 
2
2
2
2
2
2
2
2
(
)
(
)
2 (
)

170. Given expression = 
2
2
(
)
(
)
4

171. Given expression	= 
3
3
2
2
(0.051)
(0.041)
(0.051)
(0.051
0.041)
(0.041)
+
−
×
+
	
	 	
= 
3
3
2
2
a
b
a
ab
b


+




−
+


	
	 	
= (a + b) = (0.051 + 0.041) = 0.092.

172. Given expression	= 
3
3
2
2
(5.71) – (2.79)
(5.71)
5.71 2.97 (2.79)
+
×
+
	
	 	
= 
3
3
2
2
–
a
b
a
ab b






+
+


	
	 	
= (a – b) = (5.71 – 2.79) = 2.92.

173. Given expression	= 
×
+
+
2
2
3
3
(0.943) – (0.943
0.057)
(0.057)
(0.943)
(0.057)
	
	 	
= 
2
2
3
3
–
1
a
ab
b
a
b
a
b
+
=
+
+
	
	 	
= 
1

174. Given expression = 
3
3
2
2
(0.5)
(0.3)
(0.5)
(0.3)
(0.5
0.3)
+
+
−
×
	
	 	
= 
3
3
2
2
a
b
a
b
ab


+




+
−


	
	 	
= (a + b) = (0.5 + 0.3) = 0.8.

175. Given expression = 
3
3
3
3
2
2
2
2
(10.3)
(1)
(10.3)
(10.3 1)
(1)
a
b
a
ab
b


+
+
= 



−
×
+
−
+


 
	
	 	
= (a + b) = (10.3 + 1) = 11.3.

176. Given expression	= 
3
3
2
2
(2
3.75)
(1)
(7.5)
(7.5
1)
(1)
×
+
−
×
+
	
	 	
= 
3
3
2
2
(7.5)
(1)
(7.5)
(7.5
1)
(1)
+
−
×
+
	
	 	
= 
3
3
2
2
(
)
(7.5
1)
8.5.
a
b
a
b
a
ab
b


+
=
+
=
+
=




−
+



177. Given expression	= 
3
3
3
3
3
(0.1)
(0.02)
1
0.125.
8
2 [(0.1)
(0.02) ]
+
=
=
+

178. Given expression = 
3
3
2
2
(0.013)
(0.007)
(0.013)
(0.013
0.007)
(0.007)
+
−
×
+
	
	 	
= 
3
3
2
2
a
b
a
ab
b


+




−
+


	
	 	
= a + b = 0.013 + 0.007 = 0.020.

179. Given expression = 
3
3
2
2
(2.3)
(0.3)
(2.3)
(2.3
0.3)
(0.3)
−
+
×
+
	
	 	
= 
3
3
2
2
a
b
a
ab
b


−




+
+


	
	 	
= (a – b) = (2.3 – 0.3) = 2.

180. Given expression	= 
2
2
2
2
2
2 ,
10
10
10
a
b
c
a
b
c
+
+






+
+












	
	 where a = 0.06, b = 0.47 and c = 0.079.
	
	 	
= 
2
2
2
2
2
2
100 (
)

181. Given expression
	
	 	
= 
3
3
3
(4.53 – 3.07)
(3.07 – 2.15)
(2.15 – 4.53)
(4.53 – 3.07) (3.07 – 2.15) (2.15 – 4.53)
+
+
	
	 	
= 
3
3
3
3

182. 2
2
1
1
%
5
5
100
250
=
×
=

183. The given expression can be written in this form also 
	
	
0.3939
N =
 	
…(i)
	
	 Multiply equation (i) with 100 on both sides.
	
	 100N = 39.39 	
…(ii)
	
	 Subtracting equation (i) from (ii) we get 
	
	 ⇒100
39.39
0.39
N
N
−
=
−
 
	
	 99N = 39
	
	 ⇒ 
39
13
99
33
N =
=

184. (
)
(
)
{
}
(
)
2
2
2
41.99
18.04
?
13.11
138.99
−
÷
=
−
     	⇒ (
)
(
)
{
}
(
)
2
2
2
42
18
?
13
139
−
÷
=
−
 {
}
2
2
(
)(
)
−
=
+
−
Q a
b
a
b a
b
	
⇒(
)(
)
{
}
42
18
42
18
?
169
139
+
−
÷
=
−
	
⇒ 60 × 24 ÷ ? = 30
	
⇒ ? 
60
24
48
30
×
=
=

DECIMAL FRACTIONS	
93

185. Given 3
5  of 4
7  of 5
12  of 1015
	
	
3
4
5
1015
145
5
7
12
x
⇒
=
×
×
×
=

186. Given 
1
6
3
1
1
3
8
7
5
+
+
	
	 9
13
18
8
7
5
x
+
+
=
	
	 By taking the LCM of 8, 7 and 5 is 280.
	
	 315
520
1008
1843
163
6
280
280
280
+
+
=
=

187. 1/3
1.5
1
3.5
7
2
2
1
1
5
6
15
4
30
x
+
−
=
+
	
	 ⇒ 
/3
11.5
13
18.5
37
5
6
15
4
30
x1
+
−
=
+
	
	 LCM of 5, 6 and 15 is 30.
	
	 ⇒ 
1/3
69
65
37
37
30
4
30
x
+
−
=
+
	
	 ⇒ 
1
3
7
37
30
4
30
x
9
=
+
	
	 ⇒ 
1/3
97
37
4
30
30
x
=
−
	
	 ⇒ 
1/3
60
4
30
x
=
×
	
	 ⇒ 
1/3
8
x
=
 ⇒ x = (8)3
	
	 ⇒ x = 512
	
	 Hence, the number is 512.

188. Let the missing number be x.
	
	 Given 323.46 + 23.04 – 43.17 – x = 303
	
	 x = 323.46 + 23.04 – 43.17 – 303 
	
	   = 0.33

189. Let the missing number be x.
	
	 Given 
1
2
1
1
2
3
2
7
2
x
+
=
+
	
	
1
2
1
1
2
3
2
7
2
x =
+
−
	
	 x = 3
16
7
2
7
2
+
−
	
	 x = 21
32
49
14
+
−
	
	 x = 4
2
14
7
=
	
	 Hence, the number is 2 .
7

190. Let the missing number be x.
	
	 Given 48.2 × 2.5 × 2.2 + x = 270
	
	 ⇒ x = 270 – 48.2 × 2.5 × 2.2 
	
	 x = 270 – 265.1 = 4.9
	
	 Hence, the number is  4.9.

191. Given 
2
1
2
4
3
1
3
2
3
+
+
 
	
	
14
7
5
3
2
3
=
+
−
 
	
	 By taking LCM of 3, 2 and 3 is 6.
	
	
28
21
10
6
+
−
=
	
	
39
13
1
6
6
2
2
=
=
=

192. 17292
1
33
8
×
	
	
17292
65.5
33
8
=
=
×

193. Given = 1599 ÷ 39.99 + 4
2449
120.05
5 ×
−
 
	
	
4
1600
40
2450
120
5
=
÷
+
×
−
	
	 = 1600 ÷ 40 + 1960 – 120
 	
	 = 40 + 1960 – 120 = 1880

194. Given expression 
	
	 = 1576 ÷ 45.02 + 23.99 × 
255
	
	
1575
45
24
256
=
÷
+
×
	
	 = 35 + 24 × 16 = 35 + 384 = 419

195. = 3899 ÷ 11.99 – 2379 ÷ 13.97
	
	 = 3900 ÷ 12 – 2380 ÷ 14
 	
	 ≈ 325 – 170 ≈ 155

196. 2
1
1
2
4
1
9
18
2
+
−
= ?
	
	 Let the missing number be x
	
	 x = 20
73
3
9
18
2
+
−
	
	 LCM of 9, 18 and 2 is 18.
	
	
40
73
27
86
18
18
+
−
=
=
	
	 = 43
7
4
9
9
=
