CHAPTER 4: Simplification
SECTION: EXERCISE (objective MCQs)
Questions 41-85

===== QUESTIONS =====
41. (e)

42. (a)

43. (e)

44. (c)

45. (e)

46. (d)

47. (e)

48. (d)

49. (a)

50. (d)

51. (a)

52. (d)

53. (d)

54. (a)

55. (d)

56. (a)

57. (b)

58. (d)

59. (a)

60. (c)

61. (c)

62. (c)

63. (d)

64. (d)

65. (b)

66. (d)

67. (b)

68. (b)

69. (c)

70. (d)

71. (d)

72. (b)

73. (c)

74. (d)

75. (c)

76. (d)

77. (a)

78. (c)

79. (c)

80. (a)

81. (c)

82. (c)

83. (c)

84. (a)

85. (d)

===== ANSWER KEY (correct option letter) =====
41. (e)
42. (a)
43. (e)
44. (c)
45. (e)
46. (d)
47. (e)
48. (d)
49. (a)
50. (d)
51. (a)
52. (d)
53. (d)
54. (a)
55. (d)
56. (a)
57. (b)
58. (d)
59. (a)
60. (c)
61. (c)
62. (c)
63. (d)
64. (d)
65. (b)
66. (d)
67. (b)
68. (b)
69. (c)
70. (d)
71. (d)
72. (b)
73. (c)
74. (d)
75. (c)
76. (d)
77. (a)
78. (c)
79. (c)
80. (a)
81. (c)
82. (c)
83. (c)
84. (a)
85. (d)

===== DETAILED SOLUTIONS =====
41. 7
5
24
8
6


+





=
×
=






−





42. Given exp. = 24
32
24
5

43. Given exp. = 
45
14
5
14
13
2
5
7
59
23

44. Given exp. = 225
152
120
225
152
77

45. 5
5
x
x
x
x
+
+
+
+
+
=
	
	 Number of feet = 
15
4
4
2
2
45
2
5
x
x
x
+


+
×
+
×
+




	
	 	
				 		 																	= 
2
30
62
480
4
8

46. 3
6
Let 18
1480.
4
37
x
×
÷
=
	
	 Then, 
1480
4
6
75
37
64
4
1480

47. Given exp.	= 3
11
5
33
3
11
4
33
2
5
4
15
2
5
5
15
×
÷
÷
=
×
×
÷
	
	 	
= 3
11
4
15
6
1

48. 4
4
x
x
x
+
=
⇒
=
⇒
=

49. Given exp. = 
{
}
{
}
4
3
1
2
1
2
1
2
1
2
3
4
+
÷
+
÷
=
+
÷
+
×
	
= 
{
}
3
5
2
1
2
1
1
2
1
2
2
2
5
+
÷
+
=
+
÷
=
+
×
	
= 
4
9
4
1

50. 3.5
x =
=
	
	 Hence, total amount	 = (175 – 3x) + 0.5x + 0.25 × 2x
	
	 	
	
= 175 – 3x + 0.5x + 0.5x = 175 – 3x + x
	
	 	
	
= 175 – 2x = ` (175 – 2 × 50) = ` 75.

51. 2
1
4
1
3
1
3
3
5
5
4
2
Given exp.
2
4
1
1
4
1
3
3
3
5
5
2






−
−
+
+
+
−












=




−
+
−
+
+








	
= 
1
1
1
1
1
4
4
4
1
1
2
6
3
5
1
3
2
6
6
−
+
+
=
=
−
−
+
−
−
+
−
	
	
= 
3
1

52. 30
15
12
10
1
1
1
1
60
2
4
5
6
2
5
3
7
2
3
5
7
5
9
5
18
5
5
9
18
−
+
−




−
+
−








=






−
+
−
+
−
+












	
= 
17
17
51
1
60
18

53. 1
1
1
34
4
34
4
(34 4)
34
2
2
2






×
=
×
+
=
×
+
×












	
	
= 
1
(30
4) 4
34
2


+
× +
×




	
= 
1
(30 4)
(4 4)

54. 3
Let
of 168
15
5
549
9

55. ÷
×
=
×
÷
5
2
5
2
1
Let
.
3
7
7
4
3
6
x
	
	
	 Then, 5
7
5
2
6
3
2
7
4
3
x
×
×
=
×
×
	
	 ⇔ 
5
6
5
5

56. 2
5
Let 5

57. (5
1)
(4
3)
Given equation is :
20
4
x
y
x
+
+
×
=
	
	 	
⇔ (5x + 1) (4y + 3) = 80x			
...(i)
	
	 Clearly, x = 3 and y = 3 satisfy (i).

58. 2
2
19
16
19
16
Required difference
16
19
304
−
=
−
=
	
= (19
16) (19
16)
35
3

59. 1
37
75/2
75
2
Required number
8

60. 3
3
5
x
x
x
x
×
+
=
⇔
=
⇔
=
=
	
	 So, lowest temperature = 
2
60 degrees
40 degrees.
3


×
=





61. I.	
3
5
3
6

62. 2
2
2
x
x


×
=
=





SIMPLIFICATION	
159

63. 11
8
13
11
3
12
99
Given exp.
.
4
3
12
4
8
13
104
=
÷
÷
=
×
×
=

64. 8
17


÷
=
×
=





65. ÷
=
4335
15
289
Let
.
8
528
x
	
	 Then, 
289
5
4335
289
15
4335
528
8
176
8
x
x
×
=
×
⇔
=
×
 	
	
	
⇔ 
4335
176
8
4224.
289
5
x


×
×
=
=


×


	
	 \	
Missing digit = 2.

66. 16
11
4
16
6
Let

67. 11
36
36
7
Given exp.
9
of
of
9
4
4
9
1

68. 3
3
3
x
x
x
×






+
=
=
=












`
`
`
`

69. Given exp.	= 
3
2
3
9
2
10
5
6
of
3
2
4
4
3
3
6
6
−






÷
−
×
+
+






	
	 	
= 3
3
1
6
10
5
4
2
6
5
3
6
÷
−
×
×
+
	
	 	
= 3
2
2
5
1
2
5
4
3
3
6
2
3
6


×
−
+
=
−
+




	
	 	
= 
3
4
5
4

70. 7
1
5
7
3
5
7
5
1
of
of
29
3
29
3
2
3
3
2
3
3

71. Given exp. = 
6
5
1
3
1
3
1
3
4
15
3
4
15
5
3
1
5
1
of
3
4
5
4
5
−


+
+
×



=
−
−
	
	 	
				 		 			= 
1
1
23
20
23
3

72. Given exp. = 
5
7
5
2
7
2
3
6
1 –
1
7
7
3
7
6
7
2
2






+
=
−
×
+
×










	
	 	
				 		 		= 
10
1
17
4
1

73. Given exp. = 5
3
1
3
1
3
2
1
of
2
4
2
2
2
2
3
3


×
÷
+
÷
−




	
	 	
		= 5
3
1
3
1
3
1
of
2
4
2
2
2
2
3


×
÷
+
÷
×




	
	 	
		= 15
1
3
1
1
8
2
2
2
2
×
÷
+
÷
		
	
	 	
	= 15
1
2
1
5
5
2
1

74. 6
97
97
×
=

75. 4

=




	
	 Hence, total number of pages = (999 + 75) = 1074.

76. x
x
x
x
=
⇒
=

77. Given exp. = 
1
1
1
3
1
1
1
1
1
1
1
3
3
3

78. Given exp. = 
1
1
1
4
4
8
2
2
4
2
2

79. Given exp. = 
13
4
5
13
2
of
4
5
6
4
3
13
215
13
1
3
106
5
3
10
3
5
10
5
−
−
=


×
−
÷
−
+




	
	 	
	
= 
31
31
31
1
12
6

80. 5
5
p
p


=
×
=




`

81. 20
9
5
3
29
5
7
11
2
5;
3
4
12
12
12
3
5
+
+
=
=
=
<
+
	
	 	
= 35
33
68
8
4
5;
15
15
15
+
=
=
<
	   
33
32
11
8
65
5
13
11
5
5;
4
3
12
12
12
5
6
+
+
=
=
=
>
+
	
	 	
= 78
55
133
13
4

82. Given exp. = 
7
6
3
5
1
5
4
2
2
42


−




−
+
−
+












	
	
= 
3
5
1
1
5
4
2
2
42






−
+
−
+












	
= 
3
5
22
3
83
229
5
5
5
4
2
42
4
42
84






−
+
−
=
−
+
=
−












	
= 
420
229
191
23

83. Given exp. = – 1 + 4 + 3 = 6.

84. x3 – x2 – x = (– 3)3 – (– 3)2 – (– 3) = – 27 – 9 + 3 = – 33.

85. Putting S = 8 and R = 16, we have:
	
	 	
R = gS – 4  ⇔  16 = 8g – 4
	
	 	
				 		 																										⇔  8g = 20  ⇔  g = 20
