CHAPTER 9: Surds and Indices
SECTION: EXERCISE (objective MCQs)
Questions 53-97

===== QUESTIONS =====
53. (a)

54. (a)

55. (b)

56. (d)

57. (b)

58. (a)

59. (b)

60. (c)

61. (a)

62. (e)

63. (b)

64. (e)

65. (d)

66. (b)

67. (a)

68. (c)

69. (d)

70. (d)

71. (c)

72. (d)

73. (d)

74. (a)

75. (a)

76. (c)

77. (b)

78. (b)

79. (a)

80. (a)

81. (c)

82. (c)

83. (d)

84. (b)

85. (b)

86. (b)

87. (c)

88. (d)

89. (b)

90. (b)

91. (d)

92. (a)

93. (c)

94. (a)

95. (a)

96. (d)

97. (b)

===== ANSWER KEY (correct option letter) =====
53. (a)
54. (a)
55. (b)
56. (d)
57. (b)
58. (a)
59. (b)
60. (c)
61. (a)
62. (e)
63. (b)
64. (e)
65. (d)
66. (b)
67. (a)
68. (c)
69. (d)
70. (d)
71. (c)
72. (d)
73. (d)
74. (a)
75. (a)
76. (c)
77. (b)
78. (b)
79. (a)
80. (a)
81. (c)
82. (c)
83. (d)
84. (b)
85. (b)
86. (b)
87. (c)
88. (d)
89. (b)
90. (b)
91. (d)
92. (a)
93. (c)
94. (a)
95. (a)
96. (d)
97. (b)

===== DETAILED SOLUTIONS =====
53. {
}
{
}
4
4
1
1
1
1
4
4
3
6
3
6
6
3
9
9
9
9
6
3
(
)
.
(
)
a
a
a
a
















=








	
	 	
= 
1
1
1
1
9
4
9
4
6
3
3

54. (0.16
0.09)
0.16
0.09
0.25
(256)
(256)
(256)
(256)
+
×
=
=
	
	 	
= 






25
100
(256)
	
	 	
= 
1
1
1
4
4
1
4
4
4
(256)
(4 )
4
4

55. 3
3
3
1.5
2
1.5
2
2
2
4
1
(0.04)
(25)
(5 )
100
25
−
−
−




=
=
=
=








	
	 	
= 
3
2
3
2
5
5

56. Let (17)3.5 × (17)x = 178. Then, (17)(3.5 + x) = (17)8.
	
	 ∴	
3.5 + x = 8 	⇔	 x = (8 – 3.5)
	
	 	
	
	
	
⇔	 x = 4.5.

57. Let 61.2 × 36x × 302.4 × 251.3 = 305.
	
	 Then,  61.2 × (62)x × (6 × 5)2.4 × (52)1.3 = 305
	
	 ⇔	
61.2 × 62x × 62.4 × 52.4 × 52.6 = (6 × 5)5
	
	 ⇔	
6(1.2 + 2x + 2.4) × 5(2.4 + 2.6) = 65 × 55
	
	 ⇔	
6(3.6 + 2x) × 55 = 65 × 55 ⇔ 3.6 + 2x = 5 ⇔ 2x = 1.4 
⇔	
x = 0.7.

58. Let 23.6 × 43.6 × 43.6 × 322.3 = 32x.
	
	 Then,  23.6 × (22)3.6 × (22)3.6 × (25)2.3 = (25)x
	
	 ⇔	
23.6 × 2(2 × 3.6) × 2(2 × 3.6) × (25)2.3 = (25)x
	
	 ⇔	
2(3.6 + 7.2 + 7.2) × (25)2.3 = (25)x ⇔ 218 × (25)2.3 = (25)x
	
	 ⇔	
(25)3.6 × (25)2.3 = (25)x  ⇔  (25)(3.6 + 2.3) = (25)x
	
	 ⇔	
(25)5.9 = (25)x ⇔ x = 5.9.

59. Let 33.5 × (21)2 × (42)2.5 ÷ 22.5 × 73.5 = 21x.
	
	 Then,  33.5 × 73.5 × (21)2 × (21 × 2)2.5 ÷ 22.5 = 21x
	
	 ⇔	
(21)x = (3 × 7)3.5 × (21)2 × (21)2.5 × 22.5 ÷ 22.5

292	
QUANTITATIVE APTITUDE
	
	 ⇔	
(21)x = (21)3.5 × (21)(2 + 2.5) ⇔ (21)x = (21)3.5 × (21)(4.5)
	
	 ⇔	
(21)x = (21)(3.5 + 4.5) = (21)8 
	
	 ⇔	
x = 8.

60. 80.4 × 41.6 × 21.6 = (23)0.4 × (22)1.6 × 21.6
	
	 	
= 2(3 × 0.4) × 2(2 × 1.6) × 21.6
	
	 	
= 21.2 × 23.2 × 21.6 = 2(1.2 + 3.2 + 1.6) = 26 = 64.

61. Let 87 × 26 ÷ 82.4 = 8x.
	
	 Then, 87 × (23)2 ÷ 82.4 = 8x
	
	 ⇔	
87 × 82 ÷ 82.4 = 8x
	
	 ⇔	
8x = 8(7 + 2 – 2.4) ⇔ 8x = 86.6 ⇔ x = 6.6.

62. Let 252.7 × 54.2 ÷ 55.4 = 25x.
	
	 Then,  (25)2.7 × 5(4.2 – 5.4) = 25x
	
	 ⇔	
(25)2.7 × 5(– 1.2) = 25x ⇔ 
2.7
1.2
1
(25)
25
5
x
×
=
	
	 ⇔	
2.7
2.7
2 0.6
0.6
(25)
(25)
25
25
(5 )
(25)
x
x
=
⇔
=
	
	 ⇔	
25x = 25(2.7 – 0.6) = 252.1 ⇔ x = 2.1

63. Let 82.4 × 23.7 ÷ (16)1.3 = 2x.
	
	 Then,  (23)2.4 × 23.7 ÷ (24)1.3 = 2x
	
	 ⇔	
2(3 × 2.4) × 23.7 ÷ 2(4 × 1.3) = 2x
	
	 ⇔	
27.2 × 23.7 ÷ 25.2 = 2x
	
	 ⇔	
2x = 2(7.2 + 3.7 – 5.2) = 25.7 ⇔ x = 5.7.

64. 

×




=
=
=
=
=
=
	
	
1
2
1
2
1
1
2
6
12
6
2
6
12
12
12
3
3
3
3
(3 )
(9)

65. (18)3.5 ÷ (27)3.5 × 63.5 = 2x
	
	 ⇔  
3.5
3.5
3.5
1
(18)
6
2
(27)
x
×
×
=
	
	 ⇔	
2
3.5
3.5
3 3.5
1
(3
2)
(2
3)
2 11
(3 )
x
×
×
×
×
=
	
	 ⇔	
(2
3.5)
3.5
3.5
3.5
(3
3.5)
1
3
2
2
3
2
3
x
×
×
×
×
×
×
=
	
	 ⇔  
7
3.5
3.5
3.5
10.5
1
3
2
2
3
2
3
x
×
×
×
×
=
	
	 ⇔	
+
+
×
⇔
=
⇔
=
(7
3.5)
(3.5
3.5)
7
10.5
3
2
2
2
7
3
x
x
.

66. Let (25)7.5 × (5)2.5 ÷ (125)1.5 = 5x.
	
	 Then, 
(2
7.5)
2 7.5
2.5
2.5
3 1.5
(3
1.5)
(5 )
(5)
5
5
5
5
(5 )
5
x
x
×
×
×
×
=
⇔
=
	
	 ⇔  
15
2.5
4.5
5
5
1
5
5
x
×
=
	
	 ⇔	
(15
2.5
4.5)
13
5
5
5

67. (0.13
0.07)
0.13
0.07
0.25
0.075
0.2
0.25
2 0.075
3 0.2
(243)
(243)
(243)
7
(49)
(343)
7
(7 )
(7 )
+
×
=
×
×
×
×
	
	 	
= 
0.2
(2
0.075)
(3
0.2)
0.25
(243)
7
7
7
×
×
×
×
	
	 	
= 
(5
0.2)
5 0.2
1
0.25
0.15
0.6
(0.25
0.15
0.6)
1
(3 )
3
3

68. 2
2
2
3
3
3
3
3
3
3
3
3
3
3

69. 2n + 4 – 2n + 2 = 3	 ⇔	 2n + 2 (22 – 1) = 3
	
	 	
	
	
⇔	 2n + 2 = 1 = 20
	
	 	
	
	
⇔	 n + 2 = 0 ⇔ n = – 2.

70. 2n – 1 + 2n + 1 = 320	 ⇔	 2n – 1 (1 + 22) = 320
	
	 	
	
	
⇔	 5 × 2n – 1 = 320
	
	 	
	
	
⇔	
1
6
320
2
64
2
5
n −
=
=
=
	
	 	
	
	
⇔	
1
6

71. 3x – 3x – 1 = 18	 ⇔	 3x – 1 (3 – 1) = 18
	
	 	
	
	
⇔	 3x – 1 = 9 = 32  ⇔ x – 1 = 2 ⇔ x = 3.
	
	 ∴	
xx = 33 = 27.

72. 4
4
1
3
3
4
3
2
2
2
2
2
1
2
2
2
2
2
n
n
n
n
n
n
+
+
+
−
+
+
−
×
−
+
=
+
×
	
	 	
	
	
= 
1
3
4
3
2
(2
1)
1
2
2
n
n
+
+
−
+
	
	 	
	
	
= 
1
1
3
3
2
7
1
7
1
8

73. 3
4
1
3
4
1
3
4
3(
1)
3
1
3
2
1
3
2
3(
1)
3
2
3
2
8
2
(2 )
2
2
8
2
(2 )
2
2
2
x
x
x
x
x
x
x
x
x
x
x
x
+
+
+
+
+
+
+
+
+
+
+
+
+
+
+
=
=
−
−
−
	
	 	
	
	
= 
3
4
3
3
3
3
3
3
3
2
3
2
2
2
2
(2
1)
2
2
2
(2
1)
x
x
x
x
x
x
+
+
+
+
+
+
+
+
=
−
−
	
	 	
	
	
= 3.2(3x + 3) – (3x + 2) = 3.21
	
	 	
	
	
= 3 × 2 = 6.

74. 1
1
(
1)
(
1)
4
1
1
3
2
2
2
(1
2)
1 .2
9
2
2
2
(2
1)
n
n
n
n
n
n
n
n
−
−
−
−
+
+
+
+
−
−


=
= −




+
+
	
	 	
	
	
= 
2
2
1
1
1
1

75. 2
1
1
1
2
(5
2 6)
2
(5
2 6)
x
x
x
x


−
=
+
−
=
+
+
−


+


	
	 	
	
= 
(5
2 6)
1
(5
2 6)
2
(5
2 6)
(5
2 6)
−
+
+
×
−
+
−
	
	 	
	
= (5
2 6)
(5
2 6)
2

76. 7
1
7
1
4
7
2
2
2
2
2
+
=
+
+
×
×
 
	
	 	
	
= 
2
2
7
1
7
1
2
2
2
2
2




+
+
×
×








	
	 	
	
= 
2
2
7
1
1 ( 7
1) .
2
2
2


+
=
+





77. −
=
+
−
×
×
8
2 15
5
3
2
5
3
	
	 	
	
	 = 
2
2
( 5)
( 3)
2
5
3
+
−
×
×
	
	 	
	
	 = 
2
( 5
3)
( 5
3).
−
=
−

78. 6
4 3
16
8 3
6
4 3
12
4
8 3
−
+
−
=
−
+
+
−
	
	 	
= 
2
2
6
4 3
(2 3)
(2)
2
2 3
2
−
+
+
−
×
×
	
	 	
= 
2
6
4 3
(2 3
2)
6
4 3
2 3
2
−
+
−
=
−
+
−
	
	 	
= 
2
2
2
( 3)
(1)
2
3
1
( 3
1)
3

79. 1
1
2
12
140
8
60
10
84
−
−
−
−
+
	
	 	
= 
1
1
2
12
4
35
8
4
15
10
4
21
−
−
−
×
−
×
+
×
	
	 	
= 
1
1
2
12
2 35
8
2 15
10
2 21
−
−
−
−
+
	
	 	
= 
1
1
2
7
5
2 35
5
3
2 15
7
3
2 21
−
−
+
−
+
−
+
+
= 
2
2
2
2
2
2
1
1
( 7)
( 5)
2
7
5
( 5)
( 3)
2
5
3
2
( 7)
( 3)
2
7
3
−
+
−×
×
+
−×
×
−
+
+ ×
×
	
	 	
= 
2
2
2
1
1
2
( 7
5)
( 5
3)
( 7
3)
−
−
−
−
+
	
	 	
= 
1
1
2
( 7
5)
( 5
3)
( 7
3)
−
−
−
−
+
	
	 	
= 
7
5
5
3
1
1
7
5
7
5
5
3
5
3
7
3
2
7
3
7
3
+
+
×
−
×
−
+
−
+
−
−
×
+
−
	
	 	
= 
7
5
5
3
2 ( 7
3)
7
5
5
3
7
3
+
+
−
−
−
−
−
−
	
	 	
= ( 7
5)
( 5
3)
( 7
3)
2
2
2
+
+
−
−
−
	
	 	
= 
7
5
5
3
7
3

80. 5
3
5
3
4
15
2
2
2
2
2
+
=
+
+
×
×
	
	 	
	
= 
2
2
5
3
5
3
2
2
2
2
2




+
+
×
×








	
	 	
	
= 
2
5
3
5

81. 

×




=
=
=
=
=
=

296	
QUANTITATIVE APTITUDE
	
	
1
3
1
3
1
1
3
4
12
4
3
4
12
12
12
4
4
4
4
(4 )
(64)

82. 2
0.48
0.70 2
(10
)
(10
)
z
z
x
y
=
⇔
=
	
	 	
⇔	 10(0.48z) = 10(2 × 0.70) = 101.40
	
	 	
⇔	 0.48
1.40
z =
	
	 	
⇔	
140
35
2.9 (approx.).
48
12
z =
=
=

83. We know that 112 = 121.
	
	 Putting m = 11 and n = 2, we get :
	
	 (m – 1)n + 1 = (11 – 1)(2 + 1) = 103 = 1000.

294	
