CHAPTER 11: Percentage
SECTION: EXERCISE (objective MCQs)
Questions 285-329

===== QUESTIONS =====
285. (c)

286. (b)

287. (d)

288. (b)

289. (d)

290. (b)

291. (b)

292. (b)

293. (b)

294. (a)

295. (a)

296. (c)

297. (d)

298. (a)

299. (a)

300. (b)

301. (d)

302. (a)

303. (c)

304. (b)

305. (a)

306. (c)

307. (b)

308. (a)

309. (d)

310. (c)

311. (d)

312. (c)

313. (c)

314. (d)

315. (c)

316. (b)

317. (a)

318. (c)

319. (c)

320. (c)

321. (b)

322. (d)

323. (b)

324. (b)

325. (b)

326. (a)

327. (c)

328. (c)

329. (e)

===== ANSWER KEY (correct option letter) =====
285. (c)
286. (b)
287. (d)
288. (b)
289. (d)
290. (b)
291. (b)
292. (b)
293. (b)
294. (a)
295. (a)
296. (c)
297. (d)
298. (a)
299. (a)
300. (b)
301. (d)
302. (a)
303. (c)
304. (b)
305. (a)
306. (c)
307. (b)
308. (a)
309. (d)
310. (c)
311. (d)
312. (c)
313. (c)
314. (d)
315. (c)
316. (b)
317. (a)
318. (c)
319. (c)
320. (c)
321. (b)
322. (d)
323. (b)
324. (b)
325. (b)
326. (a)
327. (c)
328. (c)
329. (e)

===== DETAILED SOLUTIONS =====
285. Salary after 4 years = ` 
4
50
10000 1
100




+








	
	 	
	
	
= 
3
3
3
3
10000
2
2
2
2


×
×
×
×




`
 = ` 50625.

286. Population after 3 years = 64000 × 
3
5
1
2
100


+


×


 
	
	 	
	
= 
41
41
41
64000
68921.
40
40
40


×
×
×
=





287. Cost after 2 years = ` 
2
8
20
1
100




×
+








 
	
	 	
	
	
= 
27
27
20
23.33.
25
25


×
×
=




`
`

288. 100


×
=




	
	 Money removed = ` 
25
50
72
288

289. Population after 2 years = 8500 


+
+






20
25
1
1
100
100
	
	 	
	
	
= 

×
×
=




6
5
8500
12750.
5
4

290. Present population
	
	 = 160000 × 



+
+
+










×


3
5
5
1
1
1
100
2
100
100
	
	 = 

×
×
×
=




103
41
21
160000
177366.
100
40
20

291. Present population
	
	 	
	
= 62500 × 
2
4
24
24
1 –
62500
57600.
100
25
25




=
×
×
=









292. Let the present value be ` 100.
	
	 Value after 3 years = ` 
3
20
100
1 – 100




×








	
	 	
	
	
= 
4
4
4
100
51.20.
5
5
5


×
×
×
=




`
`
	
	 \ Reduction in value = (100 – 51.20)% = 48.8%.

293. Height of the tree 2 years ago = 


+




2
540
20
1
100
 cm
	
	 	
	
	
 = 





5
5
540 ×
×
cm = 375 cm.
6
6

294. Amount invested = ` 



=
×
×
×










+








3
10000
4
4
4
10000
5
5
5
25
1
100
`
 
	
	 	
	
	
= ` 5120.

295. Population 6 years ago = 







+








6
1771561
10
1
100

PERCENTAGE	
361
	
	 	
	
	
= 1771561 × 
6
1771561
1000000
10
11
1771561
×


=




	
	 	
	
	
= 1000000.

296. Purchase price = ` 
3
29644.032
12
1 – 100
















	
	 	
	
	
= ` 

×
×
×
=




25
25
25
29644.032
43500.
22
22
22
`

297. Let the present value of the asset be ` x. Then, 
	
	
2
2
10
–
1 – 100
–
12000
12000
10
10
10
1 –
1 –
1 –
100
100
100
x
x
x
x






=
⇒
=


















	
	 ⇒ 
10
x  = 
9
9
12000
10
10
×
×
 ⇒ x = 97200.

298. Percentage annual increase = 

×
=




1
25
100 %
%.
8
2
	
	 	
Height after 
1
2 2  years
	
	 	
	
= 
2
25
25
8 1
1
m
2
100
4
100






+
+






×
×








	
	 	
	
= 











9
9
17
1377
8 ×
×
×
m =
m
8
8
16
128
 = 10.75 m.

299. Population at the end of 2 years
	
	 	
	
=  189000 




+
=
×
×










8
5
23
21
1 –
1
189000
100
100
25
20  
	
	 	
	
= 182574.

300. 100
100


×
×




 
 So, I alone gives the answer while II alone is insufficient. 
\ Correct answer is (a).

301. Value after 3 years = ` 
5
4
2
20000 1 –
1 –
1 –
100
100
100


















	
	 	
	
	
  = ` 
95
96
98
20000
17875.2.
100
100
100


×
×
×
=




`

302. Number of bushes in the beginning 
	
	 	
	
	
= 
26730
10
8
10
1
1
1 –
100
100
100




+
+








	
	 	
	
	
= 
10
25
10
26730
25000.
11
27
9


×
×
×
=





303. Let the production in 2008 be 100 units. Then,
	
	 Production in 2012 = 100 × 




+
+










2
15
10
15
1
1 –
1
100
100
100  
	
	 	
	
	
     = 

×
×
×
×
=




23
23
9
23
100
136.88.
20
20
10
20
	
	 \ Increase in production = (136.88 – 100)% = 36.88% ≈ 37%.

304. 10 crores × 





3
R
1+
=13.31crores.
100
	
	 \ 





3
R
1+ 100
	 = 






3
13.31crores
13.31
1331
11
=
=
=
.
10 crores
10
1000
10
	
	 So, 





R
1+ 100
	 = 11
R
1
10
100


⇔
+




 
	
	 	
	
	
= 
1
R
1
1
R

305. 250 



+
=
⇒
+
=
=
=








3
3
3
R
R
2000
1
2000
1
8
(2)
100
100
250
	
	 ⇒  

+
=
⇒
=
⇒




R
R
1
2
1
R =100.
100
100

306. Let the initial output be x and let the rate of increase be 
R% per year.
	
	 Then, x 
2
2
2
R
R
1
2
1
2
( 2)
100
100
x




+
=
⇒
+
=
=








 
	
	 ⇒	
 
R
1
2
R
100 ( 2 – 1).
100


+
=
⇒
=





307. Let the rate of growth be R% per annum.
	
	 Then, 3600 



+
=
⇒
+
=








3
3
R
R
4
1
4800

308. Let the required time be n years.
	
	 Then,  500000 
10
1 –
364500
100
n

=




	
	 ⇒	
9
364500
729
10
500000
1000
n

=
=




	
	 ⇒	
 



=
⇒
=








3
9
9

309. Let the required time be n years. Then,
	
	 72900 × 



+
=
×








10
10
1
133100
1 –
100
100
n
n
⇔ 11
10
10
9
n
n




×








= 
3
133100
11
1331
11
72900
9
729
9
n




⇔
=
=







 ⇔ n = 3.

310. Let T denote the required number of 5568 year-intervals.
	
	 Then, 
T
50
1 –
12.5% of
100
x
x


=




 ⇒ 





T
50
1 – 100
	
	 = 
T
3
1
1
1
1
T

311. Let original population = 100.
	
	 Population after 3 years
	
	 = 100 × 




+
=
×
×
×
=




3
1
3
207
207
207
2
1
100
110.87.
100
200
200
200
	
	 \	
Increase = (110.87 – 100)% = 10.87% ≈ 10.8%.

362	
QUANTITATIVE APTITUDE

312. Net growth on 1000 = (32 – 11) = 21. Net growth on 100 
= 

×
=




21
100 %
2.1%.
1000

313. Annual gross salary in 2007 = ` 1000000.
	
	 Expenditure on food items in 2007 = 40% of ` 1000000 = 
` 400000.
	
	 Annual gross salary in 2008 = 90% of ` 1000000 = ` 900000.
	
	 Expenditure on food items in 2008 = 105% of ` 400000
	
	 	
	
	
= ` 420000.
	
	 \	
Required percentage = 

×
=




420000
140
100 %
%
900000
3
	
	 	
	
	
= 46.6% ≈ 47%.

314. Let the man’s original income be ` x.
	
	 Then, original tax paid = ` [12% of (80% of x)]
	
	 	
	
	
= ` 

×
×
=




12
80

315. B’s income is less than A’s by 
	
	
1


×
=


+


10
100
100 %, i.e.
%
9
%.
(100
10)
11
11

316. A = 125% of B
	
	 ⇒ 


⇒




125
100
4
A =
B
B =
=
×100 % of A = 80% of A.
100
125
5
A

317. B’s wage is less than A’s by 
	
	 

×
=


+


20
50
2
100 % . ,
%
16
%.
(100
20)
3
3
i e

318. B’s income is more than A’s by 

×




50
100 %, i.e.100%.
(100 – 50)

319. y is more than x by 

×
=




25
100
1
100 %, i.e.
%
33
%.
(100 – 25)
3
3

320. p = 6q. So, q is less than p by 5q.
	
	 \	
Required percentage
	
	 	
= 
5
5
1
100 %
100 %
83
%.
6
3
q
q
p
q




×
=
×
=









321. Let the third number be x.
 
 Then, first number = 80% of x = 
80

322. Let third number be x.
 
 Then, first number = 112 1 %
2
 of x = 9 ;
8
x
	
	 Second number = 125% of x = 5 .
4 x
	
	 \	
Required percentage = 

×
×
=




9
4
100 %
90%.
8
5
x
x

323. A = 40% of B = 40% of (25% of C) = 

×
×




40
25
100 %
100
100
 
of C = 10% of C.

324. P = 140
140
80
A
M
100
100
100


=




 
	
	   = 
140
80
100 % of M
112% of M.
100
100


×
×
=




	
	 \ Peter earned 12% more than Michael

325. Quantity of pulp in 100 kg of fresh fruits = (100 – 68)% 
of 100 kg = 32 kg.
	
	 Let the quantity of dry fruit obtained be x kg.
	
	 Then, (100 – 20)% of x = 32
	
	 ⇔ 
×


=
⇔
=
=




32
100
80
32

326. Let the reduced weight be x kg.
	
	 Clearly, the quantity of pulp remains the same in both 
the cases.
	
	 So, (100 – 96)% of 20 kg = (100 – 95)% of x kg
	
	 ⇔  4% of 20 kg = 5% of x kg  ⇒  x = 

×




4
20
5
 kg = 16 kg.

327. Quantity of pulp in fresh grapes = Quantity of pulp in 
dry grapes
	
	 = (100 – 10)% of 250 kg = 90% of 250 kg = 225 kg.
	
	 Let the total weight of fresh grapes be x kg.
	
	 Then, (100 – 80)% of x 
	
	 = 225  ⇒  20% of x = 225 ⇒ 5
x  = 225
	
	 ⇒	
x = 225 × 5 = 1125.
	
	 Hence, total weight of fresh grapes = 1125 kg.

328. Quantity of gold in the alloy = 80% of 50 g
	
	 = 
80 × 50 g = 40 g.
100






	
	 Let x g of gold be added.
	
	 Then, 
+
+
40
50
x
x  = 90
9
400
10
450
9
100
10
x
x
=
⇒
+
=
+
 ⇒ x = 50.

329. Weight of water in 60 gms mixture = 75% of 60 gm
	
	 = 





75 ×60 gm = 45 gm.
100
	
	 Weight of water in 75 gms mixture = (45 + 15) gm = 60 gm.
 
 \ Required percentage = 

×
=




60
100 %
80%.
75

PERCENTAGE	
363
