CHAPTER 18: Time and Distance
SECTION: EXERCISE (objective MCQs)
Questions 128-172

===== QUESTIONS =====
128. (b)

129. (c)

130. (d)

131. (c)

132. (d)

133. (a)

134. (a)

135. (d)

136. (b)

137. (a)

138. (a)

139. (b)

140. (b)

141. (b)

142. (c)

143. (d)

144. (a)

145. (b)

146. (c)

147. (d)

148. (d)

149. (c)

150. (c)

151. (a)

152. (b)

153. (a)

154. (b)

155. (b)

156. (b)

157. (b)

158. (b)

159. (c)

160. (d)

161. (d)

162. (d)

163. (b)

164. (c)

165. (b)

166. (b)

167. (b)

168. (c)

169. (c)

170. (b)

171. (b)

172. (c)

===== ANSWER KEY (correct option letter) =====
128. (b)
129. (c)
130. (d)
131. (c)
132. (d)
133. (a)
134. (a)
135. (d)
136. (b)
137. (a)
138. (a)
139. (b)
140. (b)
141. (b)
142. (c)
143. (d)
144. (a)
145. (b)
146. (c)
147. (d)
148. (d)
149. (c)
150. (c)
151. (a)
152. (b)
153. (a)
154. (b)
155. (b)
156. (b)
157. (b)
158. (b)
159. (c)
160. (d)
161. (d)
162. (d)
163. (b)
164. (c)
165. (b)
166. (b)
167. (b)
168. (c)
169. (c)
170. (b)
171. (b)
172. (c)

===== DETAILED SOLUTIONS =====
128. Relative speed = (10 – 8) km/hr = 2 km/hr.
	
	 Required time = Time taken to cover 100 m at relative 
speed
	
	 	
= 
100
1
1
hr =
hr =
60 min = 3 min.
2000
20
20




×









129. Suppose the thief is overtaken x hrs after 2.30 p.m.
	
	 Then, Distance covered by the thief in x hrs = Distance 
covered by the owner in 
1
–
hrs.
2
x






	
	 \ 
1
75
5
60
75
15
hrs.
2
2
2
x
x
x
x


=
−
⇔
=
⇔
=




	
	 So, the thief is overtaken at 5 p.m.

130. Distance covered by Aryan in 5 min = (40 × 5) m = 200 m.
	
	 Relative speed of Rahul w.r.t. Aryan = (50 – 40) m/min
	
	 	
	
	
= 10 m/min.
	
	 Time taken to cover 200 m at relative speed
	
	 	
	
	
	
= 
200
min
20 min.
10


=




	
	 Distance covered by the dog in 20 min = (60 × 20) m
	
	 	
	
	
	
= 1200 m.

131. Let the thief be caught x metres from the place where the 
policeman started running.
	
	 Let the speed of the policeman and the thief be 5y m/s 
and 4y m/s respectively.
	
	 Then, time taken by the policeman to cover x metres
	
	 = time taken by the thief to cover (x – 100) m
	
	 ⇒ 
(
100)
5
4
x
x
y
y
−
=
 ⇒ 4x = 5 (x – 100) ⇒ x = 500.
	
	 So, the thief ran (500 – 100) i.e. 400 m before being caught.

132. Distance covered by A in 4 hrs = (4 × 4) km = 16 km.
	
	 Relative speed of B w.r.t. A = (10 – 4) km/hr = 6 km/hr.
	
	 Time taken to cover 16 km at relative speed
	
	 	
	
	
	
= 
16
8
hrs =
hrs.
6
3






	
	 Distance covered by B in 8
3  hrs = 
8
80
10
km =
km
3
3




×








	
	 	
	
	
	
= 26.7 km.

133. Let the speed of the goods train be x km/hr. Then, rela­
tive speed = (80 – x) km/hr.
	
	 Distance covered by goods train in 6 hrs at x km/hr
	
	 = Distance covered by passenger train in 4 hrs at (80 – x) 
km/hr
	
	 ⇒ 6x = 4 (80 – x) ⇒ 10x = 320 ⇒ x = 32 km/hr.

134. Error = Time taken to cover 10 m at 300 m/sec
	
	 = 
10
1
sec
sec
0.03 sec.
300
30


=
≈





135. Clearly, the two persons would be maximum distance 
apart when they stand in opposite directions to the point 
at which sound is produced, and minimum distance apart 
when they stand in the same direction.
	
	 \ Maximum distance between the two persons
	
	 = Distance covered by sound in (6 + 5) seconds, i.e. 11 sec
	
	 = (300 × 11) m = 3300 m = 3.3 km.
	
	 And, minimum distance between the two persons
	
	 = Distance covered by sound in (6 – 5) sec., i.e. 1 sec
	
	 = 300 m = 0.3 km.

136. Let the speed of the man be x m/sec.
	
	 Then, Distance travelled by the man in 5 min 52 sec
	
	 = Distance travelled by sound in 8 sec
	
	 ⇔ x × 352 = 330 × 8
	
	 ⇔ x = 
3
×






30
8
m/sec.
352
	
	 	
= 





330 × 8
18
×
km/hr = 27 km/hr.
352
5

137. To be (18 + 20) km apart, they take 1 hour.
	
	 To be 47.5 km apart, they take 
1
1
47.5 hrs = 1
hrs.
38
4


×





138. Suppose they meet after x hours. Then,

592	
QUANTITATIVE APTITUDE
	
	 Distance travelled by P in x hrs + Distance travelled by 
Q in x hrs = 10 km
	
	 ⇔ 3x + 2x = 10 ⇒ 5x = 10 ⇒ x = 2 hrs.
	
	 Distance travelled by P in 2 hrs = (3 × 2) km = 6 km.

139. Suppose they meet x hrs after 9 a.m. Then,
	
	 Distance travelled by car X in (x – 1) hrs + Distance trav­
elled by car Y in x hrs = 700 km
	
	 ⇒ 60(x – 1) + 60x = 700 ⇒ 120x = 760 	
⇒ x = 760
19 hrs = 6 hr 20 min.
120
3
=
	
	 So, they cross each other 6 hr 20 min after 9 a.m. i.e., at 
3 : 20 p.m.

140. Suppose the trains meet after x hrs. Then,
	
	 Distance covered by 1st train in x hrs 	
+ Distance covered by 2nd train in 
3
–
hrs = 232 km
4
x






	
	 ⇒ 48x + 50 
3
–
232
4
x

=




 	
⇒ 98x = 232 + 75
539
539 hrs.
2
2
196
x
=
⇒
=
	
	 Required distance 	
= Distance travelled by 1st train in 
539 hrs.
196






	
	 = 
539
48
km = 132 km.
196


×





141. Clearly, the two will meet when they are 726 m apart.
	
	 To be (4.5 + 3.75) = 8.25 km apart, they take 1 hour.
	
	 To be 726 m apart, they take 

×




100
726
hrs
825
1000
	
	 	
	


×
=




242
=
60 min
5.28 min.
2750

142. Relative speed = (2 + 3) = 5 rounds per hour.
	
	 So, they cross each other 5 times in an hour and 2 times 
in half an hour.
	
	 Hence, they cross each other 7 times before 9.30 a.m.

143. Time taken by the two cyclists to cover one round of the 
track is 300
7
 sec and 300
8
 sec respectively. 
	
	 \ Required time = L.C.M. of 300
7
 and 300
8
 = 300 sec.

144. Relative speed = (200 + 200) km/hr = 400 km/hr.
	
	 Distance covered in 1 hr 30 min	
= 
1
1
1
400
200
100
2
2
2


×
+
×
+
×



 km 
	
	 	
= (200 + 100 + 50) km = 350 km.
	
	 [ speed reduces by half every half an hour]
	
	 Hence, distance between the trains
	
	 	
	
	
            = (425 – 350) km = 75 km.
	
	 Questions 145 to 147
	
	 Let B’s speed = x km/hr. 	
Then, A’s speed = (150% of x) km/hr = 
3
km/hr.
2
x






	
	 Clearly, A and B cross each other when A has travelled 
for 14 hours and B for 9 hours.
	
	 So, distance travelled by A in 14 hrs + distance travelled 
by B in 9 hrs = 120 km
	
	 ⇒ 
3
14
9
120
30
120

145. Time taken by A to cover 120 km = 
120
hrs = 20 hrs.
6






	
	 So, A will reach his destination 20 hrs after 6 a.m., i.e., at 
2 a.m. the next day.

146. Required difference = 
120
120
–
4
6





 hrs
	
	 	
	
	
       = (30 – 20) hrs = 10 hrs.

147. A’s speed = 6 km/hr.

148. Let the speed of train Z be z mph.
	
	 Distance travelled by train X in 1 hr = x miles.
	
	 Relative speed of train Z w.r.t. train X = (z – x) mph.
	
	 To catch train X at 5 : 30 A.M., train Z will have to 
cover x miles at relative speed in 3 hr 30 min, i.e. 7 hrs.
2
	
	 \	
(z – x) × 7
7
9
9
2

149. Let the speed of the second lady be x km/hr.
 
 Then, speed of first lady = (x + 2) km/hr.
	
	 \    24
24
–
1
(
2)
48
(
2)
x x
x
x
=
⇒
+
=
+
	
⇒	
x2 + 2x – 48 = 0 ⇒ x2 + 8x – 6x – 48 = 0
	
	 ⇒	
x (x + 8) – 6 (x + 8) = 0 ⇒ (x + 8) (x – 6) = 0
	
	 ⇒	
x = 6.
 
 Hence, speed of first lady = 8 km/hr; speed of second 
lady = 6 km/hr.

150. Let the speed of the man be x km/hr.
	
	 Then, Distance covered by the bus in 2 min
	
	 = Distance covered by the man in 8 min
	
	 ⇒ 20 × 2
8
2
60
5 km/hr.
60
60
3
8
x
x


=
×
⇒
=
×
=





151. Suppose the two men meet in n hours.
	
	 Then Sum of distances covered by two men in n hours = 
76
	
	 ⇒ 
1
1
3
4
3
3
.......... upto  terms
76
2
4
4
n
n


+
+
+
=




	
	 ⇒ 9
13
1
2
(
– 1)
76
2
2
4
2
n
n
n


+
×
+
×
=




[Sum to n terms of an A.P.]
	
	 ⇒ 9
13
1
1
–
76
2
2
2
2
2
n
n
n


+
+
=




	
	 ⇒ 9
6
76
2
2
2
n
n
n


+
+
=





TIME AND DISTANCE	
593
	
	 ⇒ 
2
2
9
6
15
76
76
2
2
4
2
4
n
n
n
n
n
+
+
=
⇒
+
=
	
	 ⇒ 30n + n2 = 304 ⇒ n2 + 30n – 304 = 0
	
	 ⇒ (n + 38) (n – 8) = 0 ⇒ n = 8.
 
 Distance travelled by first man in 8 hours
	
	 = 
9
8 km = 36 km.
2


×




	
	 Distance travelled by second man = (76 – 36) km = 40 km.
	
	 Thus, the meeting point is 36 km from R and 40 km from 
S, i.e. (40 – 36) = 4 km nearer to R than S.
	
	 Hence, x = 4.

152. Let their speeds be x m/sec and y m/sec respectively.
	
	 Then, 	
1200
15
80
x
y
x
y =
⇒
+
=
+
  	
...(i)
	
	 And,	
1200
60
–
20
–
x
y
x
y =
⇒
=
	
..(ii)
	
	 Adding (i) and (ii), we get : 2x = 100 or x = 50.
	
	 Putting x = 50 in (i), we get : y = 30.
	
	 Hence, speed of slower plane = 30m/s = 0.03 km/s.

153. Let the speed of the faster and slower cyclists be x km/
hr and y km/hr respectively,
	
	 Then,	
(
–
)
–
k
r
x
y r
k
x
y =
⇒
=
    	
   ...(i)
	
	 And,	
(
)
k
t
x
y t
k
x
y = ⇒
+
=
+
	
...(ii)
	
	 From (i) and (ii), we have : 	
(x – y)r = (x + y)t ⇒ xr – yr = xt + yt ⇒ xr – xt = yr + yt
	
	 ⇒ x (r – t) = y (r + t) 
.
r
t
x
y
r
t
+
⇒
=
−

154. Let the distance between points X and Y be d km.
	
	 Suppose the bus takes x hours to travel from X to Y.
	
	 Then, speed of bus = d
x  and speed of car = 
– 2
d
x
.
	
	 Now, sum of distances travelled by car and bus in 
1
4
1
hrs . .
hrs =
3
3
i e
d
	
	 ⇒ 
4
4
3
2
3
d
d
d
x
x




×
+
×
=




−




 	
⇒ 4
4
1
3
3(
2)
x
x
+
=
−
	
⇒ 4 (x – 2) + 4x = 3x (x – 2)
	
	 ⇒ 3x2 – 14x + 8 = 0 	
⇒ 3x2 – 12x – 2x + 8 = 0 ⇒ 3x(x – 4) – 2(x – 4) = 0
	
	 ⇒ (x – 4) (3x – 2) = 0 ⇒ x = 4  
2
3
x


≠




Q
	
	 \ Required time = 4 hours.

155. In the same time, they cover 110 km and 90 km respectively.
	
	 \ Ratio of their speeds = 110 : 90 = 11 : 9.

156. At the time of meeting, let the distance travelled by the 
first train be x km.
	
	 Then, distance covered by the second train = (x + 120) km.
	
	 \	
+
=
⇔
=
+
120
60
50
6000
50
60
x
x
x
x
	
	 	
	
	
    ⇔
=
⇔
=
10
6000

157. Distance covered by train A from 11 a.m. to 2 p.m. i.e., 
in 3 hrs = (60 × 3) = 180 km.
	
	 Relative speed = (72 – 60) km/hr = 12 km/hr.
	
	 Time taken to cover 180 km at relative speed
	
	 = 
180
hrs = 15 hrs.
12






	
	 So, the two trains will meet 15 hrs after 2 p.m. i.e., at 5 
a.m. on the next day.

158. Let the distance between stations X and Y be x km and 
let the trains meet y hours after 7 a.m.
	
