CHAPTER 20: Problems on Trains
SECTION: EXERCISE (objective MCQs)
Questions 17-61

===== QUESTIONS =====
17. (c)

18. (e)

19. (c)

20. (c)

21. (b)

22. (c)

23. (d)

24. (b)

25. (b)

26. (d)

27. (a)

28. (a)

29. (a)

30. (d)

31. (c)

32. (b)

33. (d)

34. (d)

35. (c)

36. (c)

37. (b)

38. (b)

39. (d)

40. (c)

41. (b)

42. (a)

43. (a)

44. (a)

45. (c)

46. (b)

47. (b)

48. (d)

49. (d)

50. (c)

51. (d)

52. (b)

53. (d)

54. (d)

55. (b)

56. (c)

57. (d)

58. (b)

59. (b)

60. (a)

61. (b)

===== ANSWER KEY (correct option letter) =====
17. (c)
18. (e)
19. (c)
20. (c)
21. (b)
22. (c)
23. (d)
24. (b)
25. (b)
26. (d)
27. (a)
28. (a)
29. (a)
30. (d)
31. (c)
32. (b)
33. (d)
34. (d)
35. (c)
36. (c)
37. (b)
38. (b)
39. (d)
40. (c)
41. (b)
42. (a)
43. (a)
44. (a)
45. (c)
46. (b)
47. (b)
48. (d)
49. (d)
50. (c)
51. (d)
52. (b)
53. (d)
54. (d)
55. (b)
56. (c)
57. (d)
58. (b)
59. (b)
60. (a)
61. (b)

===== DETAILED SOLUTIONS =====
17. Let the speed of the train be x metres / sec.
	
	 Time taken to cross a tree = Length of the train .
Speed of the train
	
	
Time taken to cross a platform
	
	 	
	
 = (Length of train + Length of platform)
Speed of the train
	 ...(ii)
	
	 I gives, 13 = 1

18. Relative speed
x
	
	 Thus, even with I, II and III, the answer cannot be 
obtained.
	
	 ∴	
Correct answer is (e).

19. Let the speed of the train be x m / sec.
	
	 Time taken to cross a signal pole = Length of train .
Speed of train
	
	 Time taken to cross a platform
	
	 	
	
= (Length of train
Length of platform)
Speed of the train
+
	
	
	 Length of train = 330 m.
	
	 I and III give, 
330
330
55
18
m/s
m/s.
18
3
x
x
=
⇒
=
=
	
	 II and III give, 
2
330
660
55
36
m/s
m/s.
36
3
x
x
×
=
⇒
=
=
	
	 ∴	
Correct answer is (d).

20. Time taken to cross a pole
	
	 	
	
= 
⇒
=
Length of train
20
Its speed
speed
l
	
	 ⇒
=
speed
20
l 	
...(i)
	
	 Time taken to cross a platform = (
800)
speed
l +
	
	 ⇒ 100 = (
800)
(
800)
speed
speed
100
l
l
+
+
⇒
=
	
...(ii)
	
	 Time taken to pass through a tunnel = (
400)
60
l +
	
	 ⇒ 60 = (
400)
(
400)
speed
speed
60
l
l
+
+
⇒
=
 	
...(iii)
	
	 Equating any two out of three will give us l. 
	
	 ∴ Correct answer is (e).

21. Let the speed of the train be x m / sec.
	
	 III gives that the men are moving in the same direction.
	
	 I gives, time taken to pass a man
	
	 	
	
	
= 
6
sec.
5
6
5
3
18
l
l
x
x


= 

−




−
×




	
	 ∴	
6
9
6
5
l
x
=
−
  ⇒  54x – 6l = 45 
	
	 ⇒  18x – 2l = 15	
...(i)
	
	 II gives, time taken to pass another man
	
	 	
	
	
 = 
3
sec
sec.
5
(3
5)
6
18
l
l
x
x
=
−


−
×




	
	 ∴	
3
10
30
3
50
(3
5)
l
x
l
x
=
⇒
−
=
−
	
...(ii)
	
	 On solving (i) and (ii), we get : 
55 m/sec.
6
x =
	
	 Thus, all I, II, III are needed to get the answer. 
	
	 ∴ (d) is correct.

22. Let the length of the train be x metres and its speed be 
y m/sec.
	
	 From I, we have : 
280
x
y
+
 = 18 ...(i)  From II, we have: 
x
y  = 10.5 	
	
...(ii)
	
	 From III, we have: y = 96 kmph
	
	 	
	
	
= 
5
80
96
m/sec =
m/sec
18
3


×




	
...(iii)
	
	 Clearly, the value of x can be found by solving any two 
equations out of (i), (ii) and (iii) simulaneously.
	
	 So, any two of the three give the answer.
	
	 \ The correct answer is (d).

23. Let the length of the train be x metres and its speed be 
y m/sec.
	
	 From I, we have: x
y  = 20	
...(i)
	
	 From II, we have: y = 
260
33
x +
	
...(ii)
	
	 From III, we have: y = 2
or
20
40
x
x
y =
	
...(iii)
	
	 Thus, the value of y can be found by solving (ii) with 
either (i) or (iii) simultaneously.
	
	 \ II and either I or III together give the answer.
	
	 Hence, the correct answer is (d).

632	
QUANTITATIVE APTITUDE

24. II. 	Let the speeds of A and B be 3x m / sec and 2x m / sec.
	
	 I. 	 Length of train A = (3x × 6) m = 18x metres.
	
	 III.	Length of train B = (500 – 18x) m.
	
	 Relative speed = (3x + 2x) m / sec = 5x m / sec.
	
	 Time taken A to cross B = Sum of their lengths
500 sec.
Relative speed
5x
=
	
	 Thus, even with the information in all the three statements, 
question cannot be answered.
	
	 ∴	
Correct answer is (e).

25. Let the length of train P be x metres.
		 II.	 These trains are running in opposite directions.
		 III.	 Length of train Q is 180 m.
	
	 I. Time taken by P to cross Q = 
+
(180
)
Relative speed
x
	
	
+
⇒
=
(180
)

26. III. gives, speed
	
	 	
 = 
=
200 m/s
20 m/s
10
	
	 	


=
×
=




18
20
km/hr
72 km/hr.
5
t
	
	 II. gives, time taken
	
	 	
 = 
558
31
3
hrs
hrs
7
hrs
7 hrs 45 min.
72
4
4


=
=
=




	
	 So, the train will reach city X at 3 p.m.
	
	 Hence, I is redundant. 
	
	 \ Correct answer is (a).

27. Let the lengths of the train and the bridge be x metres 
and y metres respectively.
	
	 Let the speed of the train be z m/sec.
	
	 Then, 20
x  = z		
...(i)

622	
QUANTITATIVE APTITUDE
	
	 and 
50
x
y
+
 = z 	
...(ii)
	
	 From (i) and (ii), we have: 20
50
x
y
x
+
=
	
	 ⇔ 50x = 20x + 20y
	
	 ⇔ 30x = 20y
	
	 ⇔ y = 3
1.5 .
2
x
=

28. Let the length of the train be x metres.
	
	 \ 
96
141
12
15
x
x
+
+
=
	
	 ⇔ 15 (x + 96) = 12 (x + 141)
	
	 ⇔ 3x = 1692 – 1440 = 252
	
	 ⇔ x = 84 m.
	
	 Speed of the train = 
96
84
96
m/sec =
m/sec
12
12
x +
+












	
	 	
	
= 15 m/sec
	
	 	
	
= 
18
15
km/hr = 54 km/hr.
5


×





29. Speed of train relative to man = (42 – 6) kmph = 36 kmph 
	
	 	
	
= 
5
36
m/sec = 10 m/sec.
18


×




	
	 \ Time taken to pass the man = 
180 sec = 18 sec.
10







30. Let the lengths of the train and the bridge be x metres 
and y metres respectively.
 
 Speed of the first train = 90 km/hr = 
5
90
m/sec
18


×




	
	 	
	
= 25 m/sec.
	
	 Speed of the second train = 45 km/hr
	
	 	
	
= 
5
25
45
m/sec =
m/sec.
18
2


×




	
	 Then, 
36
x
y
+
 = 25 ⇔ x + y = 900	
...(i)
	
	 \ Required time = 
+
+




























(
– 100)
(
) – 100
sec =
25
25
2
2
x
y
x
y
	
	 	


×




2
sec = 800
sec
25
 = 64 sec.

31. Speed of train relative to jogger = (45 – 9) km / hr = 36 
km / hr = 
5
36
m/sec
10 m/sec.
18


×
=




	
	 Distance to be covered = (240 + 120) m = 360 m.
	
	 \ Time taken = 
360 sec
36 sec.
10


=





32. Speed of train relative to man = (60 + 6) km / hr = 66 
km / hr 	 = 
5
55
66
m/sec
m/sec.
18
3




×
=








	
	 ∴ Time taken to pass the man = 
3
110
sec
6 sec.
55


×
=





33. Relative speed = (45 – 40) km/hr = 5 km/hr
	
	 	
	
= 
5
25
5
m/sec =
m/sec.
18
18




×








	
	 Total distance covered = Sum of lengths of trains = (200 
+ 150) m = 350 m.
	
	 \ Time taken = 
18
350
sec = 252 sec.
25


×





34. Relative speed = (72 – 60) km/hr = 12 km/hr
	
	 	
	
= 
5
10
12
m/sec =
m/sec.
18
3




×








	
	 Total distance covered = Sum of lengths of trains = (240 
+ 240) m = 480 m.
	
	 \ Time taken = 
3
480
sec
10


×




 = 144 sec = 2 min 24 sec.

35. Relative speed = (60 + 90) km/hr
	
	 	
	
= 
5
125
150
m/sec
m/sec.
18
3




×
=








	
	 Distance covered = (1.10 + 0.9) km = 2 km = 2000 m.
	
	 Required time = 
3
2000
sec
48 sec.
125


×
=





36. Relative speed = (80 + 55) km/hr = 135 km/hr
	
	 	
	
= 
5
75
135
m/sec =
m/sec.
18
2




×








	
	 Distance covered = (120 + 90 + 90) m = 300 m.
	
	 Required time = 
2
300
sec
8 sec.
75


×
=





37. Relative speed = (75 + 100) km/hr = 175 km/hr.
	
	 Time taken to cover 175 km at relative speed = 1 hr.
	
	 \ T = Time taken to cover 200 km
	
	 	
	
= 
1
8
1
200 hr
hr
1
hr
175
7
7


×
=
=





38. Speed of the train relative to man
	
	 	
	
= 
125
25
m/sec
m/sec
10
2




=








	
	 	
	
= 
25
18 km/hr
45 km/hr.
2
5


×
=




	
	 Let the speed of the train be x kmph. Then, relative speed 
	
	 	
	
= (x – 5) kmph.
	
	 \ x – 5 = 45 or x = 50 kmph.

39. Speed of the train relative to man 
	
	 = 400
m/sec = 10 m/sec
40






=
18
10
km/hr = 36 km/hr.
5


×




	
	 Let the speed of the train be x kmph. Then, relative speed 
= (x – 5) kmph.
	
	 \ x – 5 = 36 or x = 41 kmph.
	
	 Distance covered by the station in 20 min
	
	 	
	
= 
20
41
41
km =
km.
60
3


×





PROBLEMS ON TRAINS	
623
	
	 Distance to be covered by the man to reach the station
	
	 	
	
= 
41
400
41
2
211
km =
km
km.
3
1000
3
5
15




+
+
=








	
	 \ Required time = 
211
1
60 min
15
5


×
×




	
	 	
	
= 844
4
min = 168
min
5
5
 = 2 hr 48 min 48 sec.

40. Speed of the train relative to man = 
240
m/sec
10






 = 24 
m/sec =
18
432
24
km/hr =
km/hr.
5
5


×




	
	 Let the speed of the train be x kmph. Then, relative speed 
= (x + 3) kmph.
	
	 \ x + 3 = 432
432
417
– 3
83.4 kmph.
5
5
5
x
⇔
=
=
=

41. Speed of the train relative to first man 
	
	 	
	
= 
75
m/sec = 10 m/sec
7.5






	
	 	
	
= 
18
10
km/hr = 36 km/hr.
5


×




	
	 Let the speed of the train be x km/hr. Then, relative speed 
= (x – 6) km/hr.
	
	 \ x – 6 = 36 ⇔ x = 42 km/hr.
	
	 Speed of the train relative to second man 
	
	 	
	
= 
75
4
m/sec = 75
m/sec
3
27
6 4




×










	
	 	
	
= 
100
100
18
m/sec = 
km
9
9
5




×








= 40 km/hr.
	
	 Let the speed of the second man be y kmph. Then, rela­
tive speed = (42 – y) kmph.
	
	 \ 42 – y = 40 ⇔ y = 2 km/hr.

42. Let the length of the train be x metres and its speed be 
y m/sec.
	
	 Then, 
1.75
x
y =
	
	 ⇔ x = 1.75 y.	 	
...(i)
	
	 Since the train takes less time to pass a moving object than 
a stationary object, it means that the cyclist is moving in 
a direction opposite to that of the train.
	
	 \ 
10
x
y +
 = 1.5
	
	 ⇔ x = 1.5 y + 15
	
	 ⇔ 1.75 y = 1.5 y + 15
	
	 ⇔ 0.25 y = 15 ⇔ y = 15

43. Let the length of each train be x metres.
	
	 Then, distance covered = 2x metres.
	
	 Relative speed = (46 – 36) km / hr
	
	 	
	
= 
5
25
10
m/sec
m/sec.
18
9




×
=








	
	
∴	
2
25
36
9
x =
 ⇔ 2x = 100 ⇔ x = 50.

44. Relative speed = (120 + 80) km / hr
	
	 	
	
= 
5
500
200
m/sec
