CHAPTER 22: Simple Interest
SECTION: EXERCISE (objective MCQs)
Questions 27-71

===== QUESTIONS =====
27. (c)

28. (e)

29. (d)

30. (b)

31. (b)

32. (c)

33. (b)

34. (c)

35. (a)

36. (e)

37. (b)

38. (c)

39. (a)

40. (b)

41. (c)

42. (b)

43. (d)

44. (a)

45. (c)

46. (b)

47. (b)

48. (c)

49. (c)

50. (b)

51. (b)

52. (a)

53. (b)

54. (d)

55. (a)

56. (a)

57. (d)

58. (a)

59. (b)

60. (a)

61. (d)

62. (b)

63. (c)

64. (c)

65. (b)

66. (b)

67. (d)

68. (b)

69. (b)

70. (a)

71. (d)

===== ANSWER KEY (correct option letter) =====
27. (c)
28. (e)
29. (d)
30. (b)
31. (b)
32. (c)
33. (b)
34. (c)
35. (a)
36. (e)
37. (b)
38. (c)
39. (a)
40. (b)
41. (c)
42. (b)
43. (d)
44. (a)
45. (c)
46. (b)
47. (b)
48. (c)
49. (c)
50. (b)
51. (b)
52. (a)
53. (b)
54. (d)
55. (a)
56. (a)
57. (d)
58. (a)
59. (b)
60. (a)
61. (d)
62. (b)
63. (c)
64. (c)
65. (b)
66. (b)
67. (d)
68. (b)
69. (b)
70. (a)
71. (d)

===== DETAILED SOLUTIONS =====
27. P = ` 800, R = 
1
9
4
%
%,
2
2
=
 T = 3 years.
	
	 Then, S.I. = 
9
3
800

28. Sum = 
100
1536
2560.
12
5
×

=


×


`
`
	
	 Now, P = ` (2560 + 1000) = ` 3560, T = 2 yrs, R = 12%.
	
	 \	
S.I. = 
3560
12
2
854.40.
100
×
×

=




`
`

29. P = ` 64, S.I. = ` (83.20 – 64) = ` 19.20, T = 2 years.
	
	 So, rate = 
100
19.20 %
15%.
64
2


×
=


×


	
	 Now, P = ` 86, R = 15%, T = 4 years.
	
	 ∴	
S.I. 
86
15
4
51.60.
100
×
×

=




`
`
	
	 Amount = ` (86 + 51.60) = ` 137.60.

30. S.I. = ` 840, R = 5%, T = 8 years.
	
	 Principal = 
100
840
2100.
5
8


×
=


×


`
`
	
	 Now, P = ` 2100, S.I. = ` 840, T = 5 years.
	
	 ∴	
Rate = 
100
840 %
8%.
2100
5


×
=


×



31. S.I. = ` 202.50, R = 4.5%, T = 1 year.
	
	 Principal = 
100
202.50
4500.
4.5
1


×
=


×


`
`
	
	 Now, P = ` 4500, R = 5%, T = 1 year.
	
	 S.I. = 
4500
5
1

32. Let the sum be ` x. Then, S.I. = ` (504 – x).
	
	 ∴	
5
4
100
x ×
×






 = 504 – x	 ⇔  20x = 50400 – 100x
	
	 	
	
	
	
⇔ 120x = 50400  ⇔  x = 420.
	
	 Now, P = ` 420, R = 10%, T = 5 years

33. Let time be T years and rate be R% p.a.
	
	 Then, y is the S.I. on x ⇒ 100
x RT
y
=
	
... (i)
	
	 And, z is the S.I. on y ⇒ 
100
100
y RT
z
z
y
RT
=
⇒
=
	
... (ii)
	
	 From (i) and (ii) we have: 
100
100
x RT
z
RT
=
	
	 ⇒	
2
2
2
2

34. Let the principal be P and rate of interest be R%
	
	 \	
Required ratio = 
6
100
6
6
2 : 3.
9
9
9
100
P
R
PR
P
R
PR
×
×











=
=
=
×
×













35. Let the sum be ` x. Then,
	
	
8
4
10
6
12
5
12160
100
100
100
x
x
x
×
×
×
×
×
×






+
+
=












	
	 ⇒	
32x + 60x + 60x = 1216000
	
	 ⇒	
152x = 1216000 ⇒ x = 8000.

36. Let the loan amount be ` x. Then,
	
	 6
7.5
9
100
100
100
x
x
x
+
+
 = 8190 ⇒ 22.5 x = 819000 ⇒ = x = 36400.

37. Let the rate of interest be R% p.a.
	
	 Then, 400
2
550
4
1200
6
100
100
100
R
R
R
×
×
×
×
×
×






+
+











 = 1020
	
	 ⇒	
800R + 220R + 7200R = 102000
	
	 ⇒	
10200R = 102000
	
	 ⇒	
R = 10.

38. Let the sum be ` x. Now, S.I. = ` 600, T = 10 years.
	
	 Rate = 
100
600
6000
%
%.
10
x
x


×


=




×




 
 S.I. for first 5 years = 
5
6000
100
x
x


×
×


×


`
 = ` 300.	
	
	 S.I. for last 5 years = 
6000
3
5
100
x
x


×
×


×


`
 = ` 900.
	
	 ∴	
Total interest = ` 1200.

39. S.I. = 
3
10
4
1.20.
100


×
×
=




`
`

40. Let the sum be ` 100. Then,
 
 S.I. for first 6 months = 
100
10
1
100
2


×
×


×


`
 = ` 5.
	
	 S.I. for last 6 months = 
105
10
1
100
2


×
×


×


`
 = ` 5.25.
	
	 So, amount at the end of 1 year = ` (100 + 5 + 5.25)
	
	 	
= ` 110.25.
	
	 ∴ 
Effective rate = (110.25 – 100) = 10.25%.

41. S.I. for 1 year = ` (854 – 815) = ` 39.
	
	 S.I. for 3 years = ` (39 × 3) = ` 117.
	
	 ∴	
Principal = ` (815 – 117) = ` 698.

42. S.I. for 5 years = ` (1020 – 720) = ` 300.
	
	 S.I. for 2 years = 
300
2

43. S.I. for 2 years = ` (5680 – 5200) = ` 480.
	
	 S.I. for 5 years = 
480
5
1200.
2


×
=




`
`
	
	 \	
Principal = ` (5200 – 1200) = ` 4000.
	
	 Hence, rate = 
100
1200 %
6%.
4000
5
×


=


×



44. S.I. for 3 years = ` (24412.50 – 20925) = ` 3487.50.
	
	 S.I. for 2 years = 
3487.50
2
3


×




`
 = ` 2325.
	
	 \	
Principal = ` (20925 – 2325) = ` 18600.
	
	 Hence, rate = 
100 – 2325 %
6.25%.
18600
2


=


×



45. S.I. for 
1
1
years
2
 = ` (1067.20 – 1012) = ` 55.20.
	
	 S.I. for 
1
2
5
2
years =
55.20

46. Let sum = ` x. Then, S.I. = ` x.
	
	 \	
Time	= 
×
×




=




×
×




100
S.I.
100
26
years =
years
18.75
3
x
P
R
x
	
	 	
	
= 
1
5
years
3
 = 5 years 4 months.

47. Let sum = ` x. Then, S.I. = ` x.
	
	 ∴	
Rate = 




×
×
=
=
=




×
×




100
S.I.
100
25
1
%
%
8
%.
12
3
3
x
P
T
x

48. Let sum = ` x. Then, S.I. = ` 3x.
	
	 ∴	
Rate = 




×
×
=
=




×
×




100
S.I.
100
3
%
20%.
15
x
P
T
x

49. Case I. Let sum = ` x. Then, S.I. = ` x.
	
	 \	
Rate = 
100
S.I.
100
%
20%.
5
x
P
T
x
×
×




=
=




×
×




	
	 Case II. Let sum = ` x. Then, S.I. = ` 2x.
	
	 \	
Rate = 
100
S.I.
100
2
50
2
%
%
16
%.
12
3
3
x
P
T
x
×
×




=
=
=




×
×





50. 10
10
T
R




×
×
=
=




×
×




`
`
 
 Thus, I and II together give the answer.
	
	 ∴	
Correct answer is (e).

51. Let sum = ` x.
	
	 Then, S.I. = ` 2x, Time = 
1
31
15
years
years.
2
2
=
	
	 ∴	
Rate = 
100
2
400
%
%.
31
31
2
x
x
×


=


×




	
	 Now, sum = ` x, S.I. = ` x, Rate = 400 %.
31
	
	 ∴	
Time = 100
31 years
400
4
31
x
x
×
=
×
 = 7 years 9 months.

52. Let sum = ` x. Then, S.I. = ` x, Time = 16 years.
	
	 \	
Rate = 
100
25
1
%
%
6
%.
16
4
4
x
x
×


=
=


×


	
	 Now, sum = ` x, Time = 8 years, Rate = 
1
6
%.
4
	
	 \	
S.I. = 
25

53. Let sum be x. Then, S.I. = x.

54. Let sum = x.
	
	 Then, S.I. = 
.
2
x
	
	 ∴	
8

55. Let sum = x. Then, S.I. = 2 ,
5
x  Time = 10 years.
	
	 ∴	
Rate = 
100
2
%
4%.
5
10
x
x


×
=


×
×



56. Let sum = x. Then, S.I. = 0.125x = 1
,
8 x  R = 10%.
	
	 ∴	
Rate = 
100
5
1
years
years = 1
years.
8
10
4
4
x
x


×
=


×
×



57. Let the sum be x.
	
	 Then, S.I. = 40% of x = 2
5
x ; Rate = 5%.
 
 ∴	
Time = 
2
1
100
8 years.
5
5
x
x


×
×
=


×



656	
QUANTITATIVE APTITUDE

58. Let sum = x. Then, amount = 7 .
6
x
	
	 S.I. = 
7
;
6
6
x
x
x


−
=




 Time = 3 years.
	
	 ∴	
Rate = 
100
50
5
%
%
5
%.
6
3
9
9
x
x


×
=
=


×
×



59. Let sum = ` x. Then, S.I. = 30% of ` x = 
3
10
x
`
.
	
	 Time = 6 years.
	
	 \	
Rate = 
100
3
%
5%.
10
6
x
x
×


=


×
×


	
	 Now, sum = ` x, S.I. = ` x, Rate = 5%.
	
	 \	
Time = 
100
years = 20 years.
5
x
x
×




×



60. Let sum = x. Then, S.I. = 
.
9
x
	
	 Let rate = R% and time = R years.
	
	 ∴	
2
100
10
1

61. Let sum = x. Then, S.I. = 9
.
16 x
	
	 Let rate = R% and time = R years.
	
	 ∴	
2
9
900
30
1

62. Let the sum lent to C be ` x.
	
	 Then, 
2500
7
4
7
4
1120
100
100
x
×
×
×
×




+
=








	
	 ⇔	
420
25
7
(1120
700)
25
7
x
x
×


=
−
⇒
= 



 = 1500.

63. Let each sum be ` x.
	
	 Then, 
11
9
11
7
412.50
100
2
100
2
x
x




×
×
×
×
−
=




×
×




	
	 ⇔	
(99x – 77x) = 82500   ⇔   22x = 82500   ⇔   x = 3750.

64. Let the sum be ` x.
	
	 Then, 
15
5
1
25
2
1
32.50
2
4
100
2
3
100
x
x




×
×
×
−
×
×
×
=








	
	 ⇔ 
75
25
3250
25
(3250
24)
8
3
x
x
x
−
=
⇔
=
×
	
	 ⇔	
3250
24
3120.
25
x
×


=
=





65. Let the required sum be ` x.
	
	 Then, 11% of 7500 + 15% of x = 12% of (7500 + x)
	
	 ⇒	
11
15
12
7500
(7500
)
100
100
100
x
x




×
+
=
+








	
	 ⇒	
82500 + 15x = 90000 + 12x ⇒ 3x = 7500
	
	 ⇒	
x = 2500.
	
	 Hence, required sum = ` 2500.

66. Let the sums be x and y.
	
	
6
2
7
2
100
100
x
y
×
×
×
×
+
 = 354 or 6x + 7y = 17700.      ...(i)
	
	 Also, 4
5
x
y
=
 or 5x – 4y = 0                      ...(ii)
	
	 Solving (i) and (ii), we get : x = 1200 and y = 1500.
	
	 ∴	
Total sum = ` 2700.

67. Let the money added by Rahul be ` x.
	
	 Then, 
(1150
)
9
3
1150
6
3
–
100
100
x
+
×
×
×
×
 = 274.95
	
	 ⇔	
1150 × 27 + 27x – 1150 × 18 = 27495
	
	 ⇔	
27x + 1150 × (27 – 18) = 27495
	
	 ⇒	
27x = 27495 – 10350 = 17145 ⇒ x = 635.
	
	 So, sum lent by Rahul to Sachin = ` (1150 + 635) = ` 1785.

68. Let the amount invested at 12% be ` x and that invested 
at 10% be ` y.
	
	 Then, 12% of x + 10% of y = 130
	
	 ⇒	
12x + 10y = 13000  ⇒   6x + 5y = 6500        ... (i)
	
	 And, 10% of x + 12% of y = 134
	
	 ⇒	
10x + 12y = 13400  ⇒   5x + 6y = 6700        ... (ii)
	
	 Adding (i) and (ii), we get: 11 (x + y) = 13200
	
	 ⇒ 
x + y = 1200                                ... (iii)
	
	 Subtracting (i) from (ii), we get: – x + y = 200      ... (iv)
	
	 Adding (iii) and (iv), we get: 2y = 1400 or y = 700.
	
